Attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Average Grade,Unemployment rate,Inflation rate,GDP,Target
0,1,22,27,10,8,0,0,1,1,0,54,0,14,8.9,1.4,3.51,0
1,1,1,27,10,11,0,0,1,0,0,53,0,12,8.9,1.4,3.51,0
1,1,22,14,10,5,0,0,1,0,0,50,0,13,8.9,1.4,3.51,0
1,1,13,3,10,3,0,0,1,1,0,50,0,6,8.9,1.4,3.51,1
0,12,22,27,10,10,0,1,0,0,0,50,0,0,8.9,1.4,3.51,1
1,12,22,14,10,4,0,0,1,1,0,49,0,14,8.9,1.4,3.51,1
1,1,1,3,5,3,0,1,0,1,0,49,0,11,8.9,1.4,3.51,1
1,1,1,27,7,7,0,1,1,0,0,47,0,0,8.9,1.4,3.51,0
0,2,22,27,7,7,0,0,1,0,0,46,0,12,8.9,1.4,3.51,0
0,15,22,27,7,7,1,0,1,1,0,44,0,15,8.9,1.4,3.51,1
0,1,22,27,10,9,0,1,0,0,0,44,0,12,8.9,1.4,3.51,1
1,1,22,27,10,10,0,0,0,0,1,44,0,11,8.9,1.4,3.51,0
1,1,22,27,10,10,0,1,0,0,0,43,0,11,8.9,1.4,3.51,1
0,1,22,27,10,10,0,0,1,0,1,43,0,12,8.9,1.4,3.51,0
0,1,22,27,10,8,0,0,1,0,1,43,0,0,8.9,1.4,3.51,1
0,1,22,27,10,8,0,0,1,0,0,42,0,12,8.9,1.4,3.51,0
0,1,13,14,5,5,0,0,1,1,1,41,0,11,8.9,1.4,3.51,0
1,1,22,27,10,10,0,0,1,0,0,41,0,13,8.9,1.4,3.51,0
1,1,22,27,8,8,0,0,1,1,1,40,0,13,8.9,1.4,3.51,1
0,1,3,14,5,8,0,0,1,1,0,39,0,13,8.9,1.4,3.51,0
1,12,13,14,10,6,0,1,0,1,0,38,0,0,8.9,1.4,3.51,1
0,1,1,1,6,6,1,0,0,1,0,38,0,0,8.9,1.4,3.51,1
0,15,23,28,10,8,0,0,1,1,0,38,0,14,8.9,1.4,3.51,1
1,1,23,27,10,7,0,1,0,1,0,37,0,5,8.9,1.4,3.51,1
1,12,23,27,8,8,1,1,0,0,1,37,0,8,8.9,1.4,3.51,1
0,1,23,27,5,7,0,0,1,0,0,37,1,13,8.9,1.4,3.51,0
0,1,10,5,10,5,0,1,0,0,0,37,0,0,8.9,1.4,3.51,1
1,1,25,1,6,7,0,1,0,1,0,37,0,12,8.9,1.4,3.51,1
0,17,13,14,10,5,0,0,1,0,0,37,0,17,8.9,1.4,3.51,0
1,1,1,14,5,10,1,0,1,0,0,36,0,14,8.9,1.4,3.51,0
1,1,22,27,10,9,1,0,1,0,1,36,0,12,8.9,1.4,3.51,0
0,15,22,14,10,4,0,0,1,0,0,36,0,13,8.9,1.4,3.51,1
1,1,22,27,8,9,0,0,1,0,0,35,0,0,8.9,1.4,3.51,1
1,2,27,1,5,10,0,0,1,1,0,35,1,0,8.9,1.4,3.51,1
0,1,1,1,4,4,0,0,1,1,1,35,0,12,8.9,1.4,3.51,0
1,1,3,1,3,5,0,1,0,1,0,35,0,16,8.9,1.4,3.51,1
0,1,22,27,10,7,0,0,1,0,1,35,0,14,8.9,1.4,3.51,0
1,1,22,27,10,10,0,0,1,1,0,34,0,5,8.9,1.4,3.51,1
0,1,22,28,28,16,0,0,1,1,0,34,0,16,8.9,1.4,3.51,0
1,16,13,28,9,9,0,0,1,1,0,33,0,0,8.9,1.4,3.51,1
1,12,23,14,10,10,0,1,0,0,0,33,0,13,8.9,1.4,3.51,0
1,1,3,3,3,3,0,1,1,1,0,32,0,11,8.9,1.4,3.51,0
0,1,22,27,9,5,0,0,1,0,0,31,0,14,8.9,1.4,3.51,0
1,1,22,1,10,11,0,1,0,0,0,31,0,13,8.9,1.4,3.51,1
1,9,22,14,4,8,0,1,1,0,0,31,0,11,8.9,1.4,3.51,0
1,16,13,14,28,31,0,0,1,0,0,30,0,12,8.9,1.4,3.51,0
1,1,1,14,10,7,1,0,1,1,0,30,0,13,8.9,1.4,3.51,1
0,13,1,1,5,5,0,1,0,1,0,29,0,0,8.9,1.4,3.51,1
1,1,1,14,5,8,0,0,0,1,0,29,0,7,8.9,1.4,3.51,1
1,1,22,14,29,35,1,1,1,0,0,28,0,0,8.9,1.4,3.51,0
1,1,23,28,10,10,0,0,1,0,0,28,0,13,8.9,1.4,3.51,0
0,1,22,27,8,10,0,0,0,1,0,28,0,0,8.9,1.4,3.51,1
0,14,1,4,5,11,0,0,1,1,0,28,0,12,8.9,1.4,3.51,1
1,1,23,28,10,7,0,1,0,0,0,28,0,0,8.9,1.4,3.51,1
0,15,13,1,4,5,1,0,1,0,0,27,0,0,8.9,1.4,3.51,1
0,1,1,14,6,5,0,0,1,0,1,27,0,5,8.9,1.4,3.51,1
0,15,1,14,10,10,0,0,1,0,0,27,0,15,8.9,1.4,3.51,0
1,1,3,3,5,5,1,0,1,1,0,27,0,7,8.9,1.4,3.51,1
1,1,13,14,4,10,0,0,1,1,0,27,0,14,8.9,1.4,3.51,0
1,12,1,14,10,9,0,1,0,1,0,27,0,6,8.9,1.4,3.51,1
1,16,1,14,5,7,1,0,1,0,0,27,0,14,8.9,1.4,3.51,0
1,12,13,1,10,10,0,1,0,0,0,27,0,0,8.9,1.4,3.51,1
0,15,1,3,5,3,0,0,1,1,0,27,0,0,8.9,1.4,3.51,1
1,1,1,1,5,9,0,1,0,0,0,27,0,0,8.9,1.4,3.51,1
1,1,1,1,5,5,0,0,1,0,0,26,1,6,8.9,1.4,3.51,1
1,15,13,14,10,6,0,1,0,0,0,26,0,0,8.9,1.4,3.51,1
1,17,3,29,3,4,0,0,1,0,0,26,0,0,8.9,1.4,3.51,1
1,1,13,27,6,8,0,0,1,0,0,26,0,12,8.9,1.4,3.51,0
1,14,23,1,19,25,1,1,1,1,0,26,0,0,8.9,1.4,3.51,0
1,1,13,1,10,11,1,0,1,0,0,26,0,15,8.9,1.4,3.51,0
1,1,13,1,5,6,1,1,0,1,0,26,0,11,8.9,1.4,3.51,1
0,1,1,1,5,8,0,1,1,0,0,25,1,12,8.9,1.4,3.51,0
1,9,23,14,10,9,1,1,0,1,0,25,0,0,8.9,1.4,3.51,0
1,1,23,14,10,7,1,0,1,0,1,25,0,12,8.9,1.4,3.51,0
1,1,1,14,10,10,1,0,1,0,0,24,0,6,8.9,1.4,3.51,1
1,12,13,14,5,10,1,0,1,0,1,24,0,13,8.9,1.4,3.51,0
1,16,13,1,10,10,1,1,0,0,0,24,0,13,8.9,1.4,3.51,0
1,1,1,1,10,7,1,1,0,0,0,24,0,11,8.9,1.4,3.51,1
1,16,1,14,10,8,0,1,1,0,1,24,0,13,8.9,1.4,3.51,0
1,1,13,14,10,8,0,1,1,1,0,24,0,11,8.9,1.4,3.51,0
1,1,1,1,30,29,0,0,1,1,0,24,1,13,8.9,1.4,3.51,0
0,1,23,27,10,10,0,0,1,1,1,24,0,16,8.9,1.4,3.51,0
1,1,22,28,10,10,1,1,0,0,1,24,0,12,8.9,1.4,3.51,1
1,14,3,28,3,4,0,1,0,1,0,24,0,16,8.9,1.4,3.51,1
1,1,2,2,3,3,0,1,1,1,0,24,1,12,8.9,1.4,3.51,0
1,14,13,27,10,10,1,0,1,1,0,23,0,13,8.9,1.4,3.51,0
1,14,24,29,32,44,1,1,1,1,0,23,0,11,8.9,1.4,3.51,0
1,16,1,1,6,6,1,0,0,0,0,23,0,14,8.9,1.4,3.51,0
1,1,1,27,24,44,1,0,1,1,0,23,0,13,8.9,1.4,3.51,0
1,16,1,14,6,6,0,1,0,0,0,23,0,13,8.9,1.4,3.51,1
0,1,23,28,29,44,0,1,1,0,0,23,0,12,8.9,1.4,3.51,0
1,16,1,28,9,9,0,0,1,0,1,23,0,14,8.9,1.4,3.51,0
1,16,13,28,9,10,1,1,0,0,0,23,0,13,8.9,1.4,3.51,0
1,16,1,14,10,10,0,0,1,1,1,23,0,13,8.9,1.4,3.51,0
1,1,1,14,5,5,0,0,1,1,0,23,0,12,8.9,1.4,3.51,1
1,1,1,28,5,8,1,0,0,1,0,23,0,0,8.9,1.4,3.51,1
1,14,13,28,32,44,1,0,1,0,0,23,0,12,8.9,1.4,3.51,0
1,1,28,1,25,26,0,0,1,0,0,23,1,15,8.9,1.4,3.51,0
1,1,22,27,10,10,1,0,1,0,1,23,0,14,8.9,1.4,3.51,0
1,1,3,14,3,8,1,0,1,0,0,22,0,15,8.9,1.4,3.51,0
1,1,3,1,4,4,1,1,0,0,0,22,0,0,8.9,1.4,3.51,0
